seed,method,price,error,acceptance_rate,time,iat,ess
42,RWMH,10.759077745844793,0.3084941736592288,0.5921,3.5204989910125732,10.0,2000.0
42,MTM-K4,10.357254506877592,0.09332906530797302,0.80395,34.316495180130005,5.0,4000.0
43,RWMH,10.951456361469853,0.5008727892842888,0.5941,0.8593227863311768,9.0,2222.222222222222
43,MTM-K4,10.641837838816475,0.19125426663091005,0.7964,9.030497074127197,6.0,3333.3333333333335
44,RWMH,10.872992447773754,0.4224088755881894,0.5917,0.8759706020355225,8.0,2500.0
44,MTM-K4,10.395515579127892,0.05506799305767274,0.80215,9.163901567459106,5.0,4000.0
45,RWMH,10.704167791129908,0.2535842189443436,0.59315,0.823967456817627,8.0,2500.0
45,MTM-K4,10.848034594393427,0.39745102220786244,0.79895,9.18210744857788,7.0,2857.1428571428573
46,RWMH,10.168610043328462,0.2819735288571028,0.5923,0.864189624786377,9.0,2222.222222222222
46,MTM-K4,10.316930930124327,0.13365264206123761,0.80055,9.373453140258789,6.0,3333.3333333333335
